Vatten_ID,EU_CD,AdmUnit,WaterCategory,Region,Type,WB_name,RiverCatchmentSize,RiverSlope,LakeDepthCategory,LakeAlkalinity,LakeHumus,CoastDepthCategory,CoastStratification,CoastSalinity,CoastExposure,CoastResidenceTime,CoastSediment,CoastIceCover,LakeAltitude,AreaAgriculturePct,TPagricultureRefCond,Nutrient_loading,Organic_loading,Acidification,Harmful_substances,Hydrological_changes,Morphological_changes
WA10237318,SE693320-131640,Bottenhavet,RW,Norra Sverige >800 m,4LM,Mugga,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10249061,SE652923-127391,Västerhavet,RW,Södra Sverige,1MM,Örekilsälven - Torpfors till sammanflödet med Töftedalsån,100-1000 km2,0.1-2 %,,,,,,,,,,,,15.3,100,Yes,No,No,Yes,No,No
WA10250651,SE680175-143910,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Vålvasslan,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10255664,SE696927-150860,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Täckelån,<100 km2,>2 %,,,,,,,,,,,,0.223,0,No,No,No,Yes,No,Yes
WA10261414,SE705030-150937,Bottenhavet,RW,Norra Sverige 200-800 m,3LF,WA10261414,<100 km2,<0.1 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10261881,SE714736-172235,Bottenviken,RW,Norra Sverige <200 m,2LM,Hundsjöbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,5.57,47,No,No,Yes,Yes,No,Yes
WA10273223,SE719474-147431,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA10273223,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10274907,SE696564-131818,Bottenhavet,RW,Norra Sverige >800 m,4LB,Tvärån,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10278414,SE700438-162403,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA10278414,<100 km2,0.1-2 %,,,,,,,,,,,,1.85,147,No,No,No,Yes,No,Yes
WA10281143,SE673398-156415,Bottenhavet,RW,Norra Sverige <200 m,2LM,Bäckebrobäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,Yes
