Vatten_ID,EU_CD,County,County_no
WA92428936,SE685944-134900,Dalarna,20
WA92429846,SE728410-168313,Norrbotten,25
WA92431742,SE702338-165197,Västernorrland,22
WA92437493,SE647497-137609,Västra Götaland,14
WA92448987,SE635933-142840,Jönköping,06
WA92449059,SE758598-161128,Norrbotten,25
WA92450785,SE739677-156629,Norrbotten,25
WA92451816,SE689681-147283,Jämtland,23
WA92467708,SE651030-155608,Södermanland,04
WA92483567,SE689676-143202,Jämtland,23
WA92489050,SE686877-154749,Gävleborg,21
WA92508581,SE709754-163385,Västerbotten,24
WA92510713,SE643155-519162,Östergötland,05
WA92514300,SE699280-155462,Västernorrland,22
WA92515073,SE700659-147559,Jämtland,23
WA92517063,SE693572-147956,Västernorrland,22
WA92519160,SE639400-128962,Västra Götaland,14
WA92520528,SE668780-133256,Värmland,17
WA92525926,SE718784-141809,Jämtland,23
WA92528000,SE725240-143720,Nordland,N18
WA92528000,SE725240-143720,Västerbotten,24
WA92528307,SE741960-159708,Norrbotten,25
WA92528571,SE704105-134710,Jämtland,23
WA92536785,SE705869-162316,Västernorrland,22
WA92553278,SE747437-175987,Norrbotten,25
WA92555507,SE691738-147042,Västernorrland,22
WA92571167,SE681689-152370,Gävleborg,21
WA92576945,SE695314-131494,Jämtland,23
WA92578665,SE753631-169871,Norrbotten,25
WA92586818,SE676119-132188,Värmland,17
WA92595596,SE732903-185635,Norrbotten,25
WA92606361,SE753411-180707,Norrbotten,25
WA92608373,SE716816-143765,Jämtland,23
WA92622307,SE708263-147174,Jämtland,23
WA92622606,SE635422-144234,Jönköping,06
WA92634549,SE755562-169721,Norrbotten,25
WA92637595,SE669515-163232,Uppsala,03
WA92645363,SE686257-150977,Gävleborg,21
WA92647333,SE727434-144579,Västerbotten,24
WA92653751,SE660906-134326,Värmland,17
WA92666824,SE736129-155739,Norrbotten,25
WA92672034,SE749767-172207,Norrbotten,25
WA92678571,SE680296-145590,Dalarna,20
WA92678876,SE761723-169992,Norrbotten,25
WA92683372,SE755777-166723,Norrbotten,25
WA92685843,SE619293-136357,Skåne,12
WA92689064,SE643426-154096,Kalmar,08
WA92689321,SE673092-157416,Gävleborg,21
WA92692039,SE693690-152984,Västernorrland,22
WA92700249,SE659482-141009,Värmland,17
WA92700367,SE002-2942-R,Jämtland,23
WA92706422,SE665331-130104,Värmland,17
WA92706422,SE665331-130104,Hedmark,N4
WA92707504,SE670882-135609,Värmland,17
WA92716978,SE660054-140614,Värmland,17
WA92719132,SE730636-164782,Norrbotten,25
WA92723410,SE675298-142222,Dalarna,20
WA92725321,SE703486-157760,Västernorrland,22
WA92725661,SE713591-164583,Västerbotten,24
WA92736729,SE637259-139208,Jönköping,06
WA92736738,SE720661-169060,Västerbotten,24
WA92745411,SE680596-146337,Dalarna,20
WA92754473,SE724921-162335,Västerbotten,24
WA92757550,SE731342-172930,Norrbotten,25
WA92784264,SE672200-142232,Dalarna,20
WA92798794,SE696483-142909,Jämtland,23
WA92798923,SE759163-159771,Norrbotten,25
WA92809052,SE644633-140485,Jönköping,06
WA92809052,SE644633-140485,Västra Götaland,14
WA92818773,SE722539-148571,Västerbotten,24
WA92825649,SE732656-179057,Norrbotten,25
WA92838529,SE667267-143769,Dalarna,20
WA92842234,SE678460-142974,Dalarna,20
WA92848412,SE703943-165669,Västernorrland,22
WA92850147,SE734703-158979,Norrbotten,25
WA92858747,SE629057-131617,Halland,13
WA92860763,SE656723-127071,Västra Götaland,14
WA92864138,SE748979-177749,Norrbotten,25
WA92865626,SE654006-153989,Södermanland,04
WA92866195,SE700449-137432,Jämtland,23
WA92868224,SE630691-138436,Kronoberg,07
WA92874649,SE735353-180618,Norrbotten,25
WA92875252,SE736524-167676,Norrbotten,25
WA92875859,SE651266-140156,Västra Götaland,14
WA92878162,SE678720-145095,Dalarna,20
WA92879436,SE704960-163926,Västernorrland,22
WA92882106,SE679291-563791,Gävleborg,21
WA92897998,SE700497-134691,Jämtland,23
WA92910559,SE722379-618294,Västerbotten,24
WA92911376,SE736881-157431,Norrbotten,25
WA92913654,SE727849-156626,Västerbotten,24
WA92937339,SE742828-656637,Norrbotten,25
WA92938282,SE684189-147050,Gävleborg,21
WA92939246,SE667615-371950,Värmland,17
WA92940451,SE717416-164102,Västerbotten,24
WA92945230,SE723251-175428,Västerbotten,24
WA92948258,SE735218-162757,Norrbotten,25
WA92950951,SE707765-162323,Västernorrland,22
WA92961373,SE671754-144346,Dalarna,20
WA92983534,SE722911-153224,Västerbotten,24
WA92984172,SE724294-144476,Västerbotten,24
WA92988614,SE701055-679174,Västernorrland,22
WA92988996,SE631032-133260,Halland,13
WA93000719,SE716222-141954,Jämtland,23
WA93003826,SE667281-155856,Uppsala,03
WA93015832,SE729811-500321,Västerbotten,24
WA93022165,SE710787-160461,Västerbotten,24
WA93025529,SE694629-477805,Jämtland,23
WA93038012,SE680398-154345,Gävleborg,21
WA93042198,SE656155-161871,Stockholm,01
WA93063060,SE666477-472556,Dalarna,20
WA93071578,SE751706-168380,Norrbotten,25
WA93074333,SE680664-138406,Dalarna,20
WA93075542,SE706990-167681,Västerbotten,24
WA93076783,SE743998-168228,Norrbotten,25
WA93080354,SE704978-164960,Västernorrland,22
WA93082766,SE740761-156560,Norrbotten,25
WA93085890,SE712897-148255,Jämtland,23
WA93092657,SE704299-144375,Jämtland,23
WA93094235,SE739404-158672,Norrbotten,25
WA93101280,SE742423-160505,Norrbotten,25
WA93103395,SE710935-170525,Västerbotten,24
WA93106577,SE700739-600701,Västernorrland,22
WA93114484,SE710727-624383,Västerbotten,24
WA93115177,SE660768-162390,Stockholm,01
WA93120906,SE673676-139818,Dalarna,20
WA93124460,SE627586-148568,Kalmar,08
WA93134156,SE753207-169110,Norrbotten,25
WA93137514,SE647464-137021,Västra Götaland,14
WA93152761,SE738249-161559,Norrbotten,25
WA93153882,SE734180-149086,Västerbotten,24
WA93158899,SE676081-144060,Dalarna,20
WA93159165,SE688225-157122,Gävleborg,21
WA93170131,SE651247-152690,Östergötland,05
