Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,TrophicMacrophyteIndex
WA24809778,SE692866-154650,Gransjön,Gransjön,,,2015-08-18,,SLU,,8.205
,SE658281-163532,Kottlasjön,Kottlasjön,,,2015-09-17,,SLU,,6.091
WA93805689,SE660085-162662,Vallentunasjön,Vallentunasjön,,,2018-09-13,,SLU,,5.604
WA74393995,SE658371-160880,Igelviken,Igelviken,,,2014-08-12,,SLU,,5.907
WA92407934,SE656984-164254,Albysjön,Albysjön,,,2013-08-01,,SLU,,5.496
WA36357019,SE653600-162119,Fjättersjön,Fjättersjön,,,2013-09-06,,SLU,,7.494
WA90764558,SE660802-159822,Lilla Ullfjärden,Lilla Ullfjärden,,,2018-08-08,,SLU,,7.067
WA64809129,SE663446-164031,Gavel-Långsjön,Gavel-Långsjön,,,2016-09-09,,SLU,,6.497
,,Rösjön,Rösjön,,,2014-08-19,,SLU,,6.129
,,Lejondalssjön,Lejondalssjön,,,2014-08-28,,SLU,,6.359
WA15251506,SE655656-157727,Avlasjön,Avlasjön,,,2017-08-17,,SLU,,6.208
WA44417792,SE657030-154255,Bårsten,Bårsten,,,2012-08-27,,SLU,,6.839
WA44417792,SE657030-154255,Bårsten,Bårsten,,,2013-08-13,,SLU,,7.097
WA44417792,SE657030-154255,Bårsten,Bårsten,,,2014-08-21,,SLU,,7.616
WA44417792,SE657030-154255,Bårsten,Bårsten,,,2017-08-28,,SLU,,7.477
,SE653945-156135,Båven utloppsbassäng,Båven utloppsbassäng,,,2012-08-07,,SLU,,6.908
WA30204505,SE653272-157657,Ludgosjön,Ludgosjön,,,2017-08-21,,SLU,,5.282
WA40142568,SE656249-155116,Skundern,Skundern,,,2017-08-15,,SLU,,5.829
WA44237966,SE659673-155649,Granfjärden 25m,Granfjärden 25m,,,2018-07-05,,SLU,,6.519
WA13671078,SE657485-134550,Kyrkebysjön Grums kommun,Kyrkebysjön Grums kommun,,,2018-06-27,,SLU,,7.338
WA63296442,SE658444-137449,Hammarösjön Hammarö/Karlstad kommun,Hammarösjön Hammarö/Karlstad kommun,,,2018-06-26,,SLU,,6.623
WA13248972,SE658485-138380,Arnöfjorden Karlstad kommun,Arnöfjorden Karlstad kommun,,,2018-06-27,,SLU,,6.089
WA94081822,SE655282-140213,Kilsviken Kristinehamn,Kilsviken Kristinehamn,,,2015-08-14,,SLU,,7.545
WA96238459,SE660189-163937,Garnsviken,Garnsviken,,,2013-09-05,,SLU,,5.509
WA96238459,SE660189-163937,Garnsviken,Garnsviken,,,2014-07-28,,SLU,,5.358
WA96238459,SE660189-163937,Garnsviken,Garnsviken,,,2018-08-23,,SLU,,5.515
,,Norrviken,Norrviken,,,2017-08-23,,SLU,,4.693
WA77709252,SE203923-395263,Kärnsjön,Kärnsjön,,,2015-07-07,,SLU,,6.947
WA77709252,SE203923-395263,Kärnsjön,Kärnsjön,,,2015-08-05,,SLU,,7.14
WA83907305,SE638195-144270,Nömmen,Nömmen,,,2018-07-09,,SLU,,7.407
WA84321623,SE655417-132825,"Vänern, Gatviken","Vänern, Gatviken",,,2015-06-25,,SLU,,6.885
WA22081099,SE658080-139668,"Norra Vänern, Ölmeviken","Norra Vänern, Ölmeviken",,,2018-06-29,,SLU,,6.95
,,"Flaten, profundal","Flaten, profundal",,,2014-09-10,,SLU,,6.641
,,Lillsjön,Lillsjön,,,2014-09-01,,SLU,,5.96
,,Örnässjön,Örnässjön,,,2014-08-14,,SLU,,5.965
,,Väsjön,Väsjön,,,2014-09-26,,SLU,,6.12
WA52411679,SE205498-387378,Strömsvattnet,Strömsvattnet,,,2015-06-26,,SLU,,6.159
,,"Judarn, Västra udden","Judarn, Västra udden",,,2014-07-30,,SLU,,6.821
,,"Laduviken, Stora Skuggan","Laduviken, Stora Skuggan",,,2014-07-31,,SLU,,4.871
WA75458330,SE657482-165178,Återvallsträsket,Återvallsträsket,,,2015-08-11,,SLU,,7.374
,,Hönshyltefjorden,Hönshyltefjorden,,,2018-08-16,,SLU,,6.667
WA71340271,SE203515-431498,Ämten,Ämten,,,2015-06-22,,SLU,,6.307
WA71755520,SE651862-153382,Virlången,Virlången,,,2012-08-21,,SLU,,7.738
WA92500648,SE655872-162003,Lilla Skogsjön,Lilla Skogsjön,,,2013-07-30,,SLU,,6.589
WA27186406,SE656626-162801,"Orlången, Karlsborg V, profundal","Orlången, Karlsborg V, profundal",,,2015-08-10,,SLU,,5.194
WA27186406,SE656626-162801,"Orlången, Karlsborg V, profundal","Orlången, Karlsborg V, profundal",,,2018-08-27,,SLU,,5.103
WA67904789,SE650357-136299,"Sjöråsviken, Sjörås syd","Sjöråsviken, Sjörås syd",,,2018-06-26,,SLU,,6.931
WA40216226,SE653965-157985,Likstammen,Likstammen,,,2012-08-23,,SLU,,7.332
WA97039841,SE661484-160958,Mälaren-Garnsviken,Mälaren-Garnsviken,,,2014-09-15,,SLU,,5.548
WA17363592,SE648633-128693,Stora Hästefjorden,Stora Hästefjorden,,,2015-08-06,,SLU,,7.889
WA54214751,SE651439-130163,Kolungen,Kolungen,,,2016-07-08,,SLU,,6.129
