Vatten_ID,EU_CD,Municipality,Municipality_no
WA47421878,SE710380-143945,Krokom,2309
WA47424039,SE637920-133814,Svenljunga,1465
WA47424998,SE633037-156909,Borgholm,0885
WA47425346,SE737476-159723,Arjeplog,2506
WA47425661,SE629266-406431,Ljungby,0781
WA47427278,SE741429-161664,Jokkmokk,2510
WA47434753,SE647094-134616,Lidköping,1494
WA47434753,SE647094-134616,Skara,1495
WA47434753,SE647094-134616,Vara,1470
WA47443190,SE708256-170951,Umeå,2480
WA47446668,SE703253-153750,Sollefteå,2283
WA47447508,SE695618-160634,Härnösand,2280
WA47450340,SE693186-146516,Ånge,2260
WA47467610,SE677945-141158,Mora,2062
WA47468671,SE646840-133238,Lidköping,1494
WA47468671,SE646840-133238,Vara,1470
WA47473034,SE739218-162239,Jokkmokk,2510
WA47474546,SE708907-167263,Bjurholm,2403
WA47503181,SE732567-182911,Kalix,2514
WA47503247,SE650683-142204,Karlsborg,1446
WA47515515,SE732701-148809,Sorsele,2422
WA47520620,SE659254-481341,Hällefors,1863
WA47520620,SE659254-481341,Karlskoga,1883
WA47522085,SE722071-155870,Storuman,2421
WA47523580,SE669691-152981,Hedemora,2083
WA47525143,SE665265-146763,Smedjebacken,2061
WA47553747,SE707691-159961,Örnsköldsvik,2284
WA47554926,SE709602-152235,Strömsund,2313
WA47558507,SE636197-130272,Mark,1463
WA47558507,SE636197-130272,Varberg,1383
WA47561189,SE730661-144823,Storuman,2421
WA47562474,SE640412-132612,Borås,1490
WA47564375,SE638871-131728,Borås,1490
WA47564375,SE638871-131728,Mark,1463
WA47565215,SE697605-132464,Berg,2326
WA47572606,SE662628-145074,Lindesberg,1885
WA47572606,SE662628-145074,Ljusnarsberg,1864
WA47577180,SE756857-170191,Kiruna,2584
WA47577279,SE668333-140223,Vansbro,2021
WA47590113,SE693188-146864,Ånge,2260
WA47596755,SE699045-162051,Kramfors,2282
WA47600874,SE714415-168153,Vindeln,2404
WA47608164,SE627487-150697,Kalmar,0880
WA47613621,SE698729-156988,Sollefteå,2283
WA47619064,SE635995-153402,Oskarshamn,0882
WA47625486,SE649031-139609,Skövde,1496
WA47641434,SE755743-168082,Kiruna,2584
WA47655533,SE629543-142565,Alvesta,0764
WA47658565,SE749402-158214,Jokkmokk,2510
WA47668250,SE703897-144571,Östersund,2380
WA47670869,SE709014-134241,Åre,2321
WA47672111,SE731512-153874,Sorsele,2422
WA47676539,SE745583-167003,Gällivare,2523
WA47681780,SE716929-170374,Skellefteå,2482
WA47690710,SE705785-167105,Nordmaling,2401
WA47700409,SE746341-157657,Jokkmokk,2510
WA47714603,SE661381-134397,Arvika,1784
WA47714603,SE661381-134397,Kil,1715
WA47720515,SE622842-142704,Olofström,1060
WA47720515,SE622842-142704,Sölvesborg,1083
WA47722714,SE695913-133184,Härjedalen,2361
WA47723242,SE741884-154679,Arjeplog,2506
WA47729133,SE741758-173798,Gällivare,2523
WA47734380,SE655825-123841,Strömstad,1486
WA47739284,SE631642-135489,Hylte,1315
WA47744281,SE730868-168190,Arvidsjaur,2505
WA47751291,SE739361-171135,Jokkmokk,2510
WA47755367,SE754866-168671,Kiruna,2584
WA47760324,SE682492-142169,Mora,2062
WA47760324,SE682492-142169,Orsa,2034
WA47764394,SE689589-157095,Sundsvall,2281
WA47765036,SE698182-133987,Berg,2326
WA47767721,SE668162-163395,Östhammar,0382
WA47769744,SE729335-637252,Arjeplog,2506
WA47769951,SE667241-138776,Hagfors,1783
WA47771400,SE665434-354080,Eda,1730
WA47771400,SE665434-354080,Kongsvinger,N402
WA47777392,SE741201-156074,Arjeplog,2506
WA47777804,SE716976-572571,Vilhelmina,2462
WA47778627,SE688609-152312,Hudiksvall,2184
WA47781809,SE716239-158499,Vilhelmina,2462
WA47784149,SE669080-149296,Säter,2082
WA47785074,SE631096-406514,Hylte,1315
WA47791359,SE700568-148659,Ragunda,2303
WA47793124,SE693979-159605,Timrå,2262
WA47804885,SE670658-142659,Vansbro,2021
WA47806230,SE648879-125970,Munkedal,1430
WA47814622,SE717387-171056,Skellefteå,2482
WA47832327,SE736768-175416,Boden,2582
WA47832327,SE736768-175416,Gällivare,2523
WA47835498,SE643863-144791,Tranås,0687
WA47835498,SE643863-144791,Ödeshög,0509
WA47841795,SE763287-169504,Kiruna,2584
WA47853258,SE650780-145643,Motala,0583
WA47859316,SE760960-176443,Kiruna,2584
WA47871802,SE658373-142558,Karlskoga,1883
WA47875401,SE728764-173430,Älvsbyn,2560
WA47882336,SE701981-140392,Åre,2321
WA47890930,SE632597-144318,Växjö,0780
WA47892183,SE672298-138995,Malung-Sälen,2023
WA47892183,SE672298-138995,Vansbro,2021
WA47898723,SE707799-167942,Nordmaling,2401
WA47903058,SE702166-148694,Ragunda,2303
WA47903058,SE702166-148694,Östersund,2380
WA47909605,SE655311-513995,Hallsberg,1861
WA47909605,SE655311-513995,Kumla,1881
WA47917949,SE709426-139629,Krokom,2309
WA47919328,SE710342-138903,Krokom,2309
WA47929688,SE685748-139709,Härjedalen,2361
WA47943742,SE740357-159341,Jokkmokk,2510
WA47952055,SE729380-164900,Arvidsjaur,2505
WA47955892,SE669396-149677,Säter,2082
WA47961840,SE737260-162585,Arjeplog,2506
WA47964084,SE704865-147830,Strömsund,2313
WA47971166,SE706811-139083,Krokom,2309
WA47974810,SE718780-174967,Skellefteå,2482
WA47983602,SE663924-140533,Filipstad,1782
WA47994056,SE708513-152094,Strömsund,2313
