Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,EQR8,AindexW5,EindexW3
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2009-09-04,,SLU,,0.3835922606,0.7791456168,0.0942288585
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2012-09-02,,SLU,,0.5180170698,0.6317229212,0.2487697481
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2013-09-01,,SLU,,0.4477801885,0.6959900178,0.2686644032
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2014-09-09,,SLU,,0.5091893673,0.6709722363,0.2582369226
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2015-09-06,,SLU,,0.565518996,0.6645066184,0.2047445051
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2016-09-08,,SLU,,0.6277836915,0.7233538696,0.2327721187
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2017-09-08,,SLU,,0.5743976748,0.7595516408,0.1693513996
WA15048302,SE622731-136920,Hela sjön,Hela sjön,13.70018,56.15611,2018-09-06,,SLU,,0.4643432873,0.59841807,0.4150312216
WA43427014,SE622760-144629,Hela sjön,Hela sjön,14.93721,56.17747,1996-07-10,,SLU,,0.1580136839,0.4913856875,0.5007299844
WA77388141,NW623179-141647,Hela sjön,Hela sjön,14.46423,56.20197,2006-07-19,,SLU,,0.3269588457,0.6580588728,0.2287446886
WA77388141,NW623179-141647,Hela sjön,Hela sjön,14.46423,56.20197,2009-07-29,,SLU,,0.4073512657,0.7247818852,0.1395394245
WA90927076,NW623191-140742,Hela sjön,Hela sjön,14.31785,56.20371,1997-06-30,,SLU,,0.4203182584,0.4108572261,0.8083916597
WA90927076,NW623191-140742,Hela sjön,Hela sjön,14.31785,56.20371,2000-07-16,,SLU,,0.5175921315,0.3918720953,0.9328833489
WA93220370,NW623147-142148,Hela sjön,Hela sjön,14.53999,56.20619,2005-07-23,,SLU,,0.0291431709,5.0592828E-6,1
WA93220370,NW623147-142148,Hela sjön,Hela sjön,14.53999,56.20619,2010-07-21,,SLU,,0.0291431709,5.0592828E-6,1
WA93220370,NW623147-142148,Hela sjön,Hela sjön,14.53999,56.20619,2013-08-11,,SLU,,0.0291431709,5.0592828E-6,1
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,1997-08-23,,SLU,,0.5975326716,0.2711505114,0.4855491097
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2005-07-20,,SLU,,0.4394974165,0.1857360534,0.7563017194
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2006-08-06,,SLU,,0.3450058317,0.1548589816,0.7257767643
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2007-07-15,,SLU,,0.4256820701,0.2540049005,0.771369785
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2008-07-13,,SLU,,0.5076729996,0.2655621571,0.6736847411
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2009-07-15,,SLU,,0.4626807943,0.1619787921,0.6899608738
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2010-07-19,,SLU,,0.4674927738,0.1993871648,0.8098556788
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2011-07-22,,SLU,,0.4502148812,0.1802771719,0.63289321
WA34269962,SE623201-146122,Hela sjön,Hela sjön,15.17849,56.21233,2012-07-26,,SLU,,0.282851834,0.1501416288,0.8759244146
WA99097495,SE623289-146219,Hela sjön,Hela sjön,15.19573,56.22265,2006-08-28,,SLU,,0.3548779982,0.8299129906,0.1958796216
WA99423693,NW623035-471644,Hela sjön,Hela sjön,14.53813,56.21847,1996-07-24,,SLU,,0.3223424318,0.3091786274,0.613944475
WA99423693,NW623035-471644,Hela sjön,Hela sjön,14.53813,56.21847,1999-06-28,,SLU,,0.4674956835,0.2622199537,0.7231791411
WA99423693,NW623035-471644,Hela sjön,Hela sjön,14.53813,56.21847,2002-07-21,,SLU,,0.444088508,0.3250970371,0.6295484003
WA99423693,NW623035-471644,Hela sjön,Hela sjön,14.53813,56.21847,2008-07-30,,SLU,,0.5133813117,0.4521906029,0.3917308639
WA99423693,NW623035-471644,Hela sjön,Hela sjön,14.53813,56.21847,2015-07-06,,SLU,,0.2341107028,0.1256814067,0.7805189421
WA25804956,NW623321-145909,Hela sjön,Hela sjön,15.14236,56.22373,2010-07-17,,SLU,,0.4867450932,0.2566533025,0.5303902259
WA93351809,NW623415-144816,Hela sjön,Hela sjön,14.96387,56.23199,1999-08-09,,SLU,,0.5914292996,0.7683463522,0.1170147806
WA72454329,NW623455-143010,Hela sjön,Hela sjön,14.68716,56.23257,1997-08-22,,SLU,,0.6245948379,0.7078978033,0.1774404784
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,1997-07-10,,SLU,,0.4537021067,0.6721402192,0.42200982
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2000-07-23,,SLU,,0.3507430608,0.8166157172,0.4204931907
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2003-07-21,,SLU,,0.3769461701,0.4661155117,0.5579121171
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2005-07-26,,SLU,,0.4113654172,0.5165136428,0.5385214139
WA63543821,NW623508-140246,Hela sjön,Hela sjön,14.23455,56.23501,2008-07-16,,SLU,,0.5141862263,0.6227419903,0.8140820165
