Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicInvertebratesASPT,BenthicInvertebratesDJ,BenthicInvertebratesMISA
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2012-11-16,,SLU,,5.848,10,71.562
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2013-10-08,,SLU,,5.677,10,70.571
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2014-10-14,,SLU,,5.867,10,65.21
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2015-10-14,,SLU,,6,10,71.096
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2016-10-20,,SLU,0.25,5.867,10,65.21
WA78517976,SE617027-137477,Tolångaån Tolånga,Tolångaån Tolånga,,,2017-10-13,,SLU,0.4,5.75,10,62.413
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2007-10-08,,SLU,0.5,6.308,13,14.285
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2008-10-22,,SLU,0.5,5.833,12,15.394
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2009-10-04,,SLU,0.5,5.636,11,29.014
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2010-10-19,,SLU,0.5,5.818,11,24.353
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2011-10-18,,SLU,,5.889,10,10.47
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2012-10-12,,SLU,,5.833,12,28.629
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2013-10-24,,SLU,,6,10,47.193
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2014-10-21,,SLU,,5.833,11,43.532
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2015-11-11,,SLU,0.3,6.308,12,41.784
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2016-10-30,,SLU,0.2,5.818,10,53.814
,SE650920-143244,Lommabäcken Nedre,Lommabäcken Nedre,,,2017-10-24,,SLU,0.5,5.5,11,17.641
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2007-09-25,,SLU,0.5,7.083,13,28.247
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2008-09-20,,SLU,0.5,6.7,12,21.425
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2010-10-15,,SLU,0.5,2,,40
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2011-09-27,,SLU,,1.5,,40
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2012-10-10,,SLU,,5.571,10,16.667
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2014-09-29,,SLU,,7.778,14,33.428
WA37110481,SE758793-162214,Abiskojokk Röda Bron,Abiskojokk Röda Bron,,,2015-10-08,,SLU,,5,8,25
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2007-10-02,,SLU,0.5,5.4,12,0
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2008-10-16,,SLU,0.5,5.556,13,0.011
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2009-10-24,,SLU,0.5,5.778,13,0
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2010-10-06,,SLU,0.5,6,13,0
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2011-10-03,,SLU,,5.25,12,0
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2012-11-20,,SLU,,5.556,12,0
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2013-10-01,,SLU,,6,13,7.722
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2014-10-07,,SLU,,5.769,13,7.683
,SE633070-131710,Pipbäcken Nedre,Pipbäcken Nedre,,,2015-10-08,,SLU,,6.4,15,4.238
