Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicDiatomsIPS,BenthicDiatomsACID,BenthicDiatomsPctPT,BenthicDiatomsTDI
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2012-09-23,,SLU,,19.7,4.5,0,10.1
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2013-09-15,,SLU,,19.1,4,0.01,14.2
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2014-09-24,,SLU,,19.6,5.5,0.009,17.5
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2015-09-11,,SLU,,19.4,5.6,0.019,20.7
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2016-09-16,,SLU,,19.3,5.8,0.009,19.7
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2017-09-17,,SLU,0.5,19.6,5.9,0.015,18.7
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2018-09-13,,SLU,,19.1,4.6,0.008,16.3
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2006-09-15,,SLU,,19.3,7.7,0.009,27.1
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2007-09-19,,SLU,,19.9,7.4,0,21.6
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2008-09-14,,SLU,,19.5,5.7,0.005,18.8
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2009-09-15,,SLU,,19.7,5.7,0,23.5
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2010-09-02,,SLU,,19.9,6.7,0.002,20.7
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2011-08-06,,SLU,,19.8,7.4,0.009,27.5
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2012-09-11,,SLU,,19.8,4.8,0,15.8
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2013-09-13,,SLU,,19.9,7.6,0,23
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2014-09-13,,SLU,,19.5,6.5,0,25.8
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2015-09-11,,SLU,,19.9,6.6,0,20.7
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2016-09-07,,SLU,,19.4,4.9,0,20.2
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2017-09-10,,SLU,0.5,19.6,6.3,0,22.1
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2018-09-09,,SLU,,19.7,5.2,0,22.8
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2006-09-14,,SLU,,19.4,6.4,0.005,25.3
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2008-09-11,,SLU,,19,6.4,0.002,27.8
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2009-09-12,,SLU,,18.9,6.6,0.007,27.3
